Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
Contracts and Tenders from Bristol City Council,bristol-city-council-contracts-tenders,1291,560,293,all
Organogram and staff pay for High Speed 2 (HS2),organogram-staff-pay-hs2,1291,391,501,all
"Spend over £25,000 in the Department for Education",financial-transactions-data-dfe,1290,340,993,all
Enumeration Postcodes (2011) to output areas (2011) to lower layer super output areas (2011) to middle layer super output areas (2011) to local authority districts (2011) E+W Lookup,enumeration-postcodes-2011-to-output-areas-2011-to-lower-layer-super-output-areas-2011-to-middl,1284,408,165,all
Households Below Average Income,households_below_average_income,1283,496,496,all
GDP and the Labour Market,gdp_and_the_labour_market,1283,52,307,all
Vehicle Safety Branch Recalls Database,vehicle-safety-branch-recalls-database,1277,869,214,all
"Spend over £25,000 in the Cabinet Office",financial-transactions-data-co,1276,387,788,all
Pneumonia: Mortality rate,pneumonia_-_mortality_rate,1276,858,235,all
UK Earthquake Seismogram Data.,uk-earthquake-seismogram-data,1275,478,200,all
Lower Layer SOA (with names) - Geometric centroid - Population weighted centroid: Lookup Table,lower_layer_soa_with_names_-_geometric_centroid_-_population_weighted_centroid_-_lookup_table,1275,604,0,all
Plans Of Abandoned Mines (Other Than Coal): Cumbria.,plans-of-abandoned-mines-other-than-coal-cumbria,1274,722,0,all
Families and Households,families_and_households,1273,386,355,all
Urban settlement area boundaries,urban_settlement_area_boundaries,1272,607,267,all
Breastfeeding Statistics,breastfeeding_statistics,1272,894,76,all
Consumer Price Inflation,consumer_price_inflation,1272,223,284,all
"Prescription Cost Analysis, England",prescription-cost-analysis-england,1270,387,632,all
Regional Trends Online Tables,regional_trends_online_tables,1268,482,480,all
"Higher Education Statistics: HE qualifications obtained in the UK by level, mode of study, domicile, gender, class of first degree and subject area",hesa-qualifications-in-uk-level-mode-of-study-domicile-gender-class-of-1st-degree-subject,1265,556,343,all
United Kingdom National Accounts,united_kingdom_national_accounts,1265,637,348,all
2m Composite LIDAR Digital Surface Model,2m-composite-lidar-digital-surface-model,1258,243,2166,all
OS MasterMap Address Layer 2,os-mastermap-address-layer-2,1256,454,12,all
Adult Psychiatric Morbidity in England,adult_psychiatric_morbidity_in_england,1251,761,391,all
Organogram and staff pay data for Department of Energy & Climate Change,staff-organograms-and-pay-decc,1250,584,391,all
Foundation Stage Profile Results in England,foundation_stage_profile_results_in_england,1249,842,227,all
Land-Form PROFILE® Contours,land-form-profile-contours,1239,702,0,all
Code-Point®,code-point,1239,210,91,all
Organogram and staff pay data for Department for Business Innovation and Skills,staff-organograms-and-pay-department-for-business-innovation-and-skills,1235,571,533,all
"Police service strength, England and Wales",police_service_strength_england_and_wales,1224,697,112,all
Labour Market Statistics,labour_market_statistics,1223,497,419,all
Sites of Special Scientific Interest,sites-of-special-scientific-interest,1222,702,54,all
Ancient Woodland Inventory (Scotland),ancient-woodland-inventory-scotland,1222,694,170,all
Population estimates (five year age bands),population_estimates_five_year_age_bands,1221,451,361,all
Social housing demand and supply,social_housing_demand_and_supply,1218,717,314,all
Armed Forces Continuous Attitude Survey Main Results,armed_forces_continuous_attitude_survey_main_results,1217,858,427,all
Atlas of Deprivation: England,atlas_of_deprivation-england,1216,505,325,all
FCO Country profiles,fco-country-information,1213,479,162,all
Health and Safety Statistics,health_and_safety_statistics,1212,739,226,all
Bridge Weight Limits,warwickshire-bridge-weight-limits,1211,851,107,all
Housing Association Performance Indicators,housing-association-performance-indicators,1210,645,365,all
"Spend over £25,000 in the Home Office",financial-transactions-data-ho,1206,338,1515,all
MINAP Analyses 2012,minap-2012,1204,475,609,all
Alcohol Statistics Scotland,alcohol_statistics_scotland,1202,723,0,all
Councillors on East Sussex County Council,east-sussex-county-councillors,1198,550,374,all
"Abuse of Vulnerable Adults in England 2010-11: Final Report, Experimental Statistics",abuse-of-vulnerable-adults-in-england-2010-11-final-report-experimental-statistics,1196,634,479,all
School Census,school-census,1196,578,0,all
The Pocket Data Bank (Weekly Economic Indicators),pocketdatabank,1196,535,494,all
Dementia - projections,dementia_-_projections,1193,712,1228,all
"Academic Achievement and Entitlement to Free School Meals, Wales",academic_achievement_and_entitlement_to_free_school_meals_wales,1192,729,270,all
Market Sector Gross Value Added,market_sector_gross_value_added,1188,565,449,all
Personal Social Services Expenditure and Unit Costs,personal-social-services-expenditure-and-unit-costs,1177,684,531,all
"Statistics on Women's Smoking Status at Time of Delivery: England, Quarter 2, 2012-13",statistics-on-women-s-smoking-status-at-time-of-delivery-england-quarter-2-2012-13,1176,578,553,all
Annual Anti-social Behaviour Order (ASBO) Statistics,annual_anti-social_behaviour_order_asbo_statistics,1173,403,54,all
Organogram and staff pay data for Victoria & Albert Museum,staff-organograms-and-pay-victoria-and-albert-museum,1173,569,295,all
Borehole Geology Database.,borehole-geology-database,1163,557,0,all
"NHS Maternity Statistics, England 2011/12",nhs-maternity-statistics-england-2011-12,1162,613,728,all
Statistics on NHS Stop Smoking Services: England,statistics-on-nhs-stop-smoking-services-england,1159,729,349,all
"Listing of publishable central government tender documentation for tenders over £10,000",uk-transparency-in-procurement-tender-documents,1159,679,160,all
Council Tax Bands from Monmouthshire County Council,council_tax_bands_monmouthshire,1157,652,176,all
Ward to Local Authority District: Lookup Table,ward_to_local_authority_district_-_lookup_table,1155,606,234,all
Business Investment,business_investment,1153,451,388,all
Sensitive areas currently identified in the UK under the Urban Waste Water Treatment Directive since 1994,uk-sensitive-areas-under-the-urban-waste-water-treatment-directive,1150,653,443,all
Pupil Absence in Schools in England,pupil_absence_in_schools_in_england,1150,582,524,all
Output Area - Lower Layer SOA (with names) - Standard Table Ward - Local Authority: Lookup Table,output_area_-_lower_layer_soa_with_names_-_standard_table_ward_-_local_authority_-_lookup_table,1149,535,0,all
Organogram and staff pay data for Met Office,staff-organograms-and-pay-met-office,1144,478,286,all
"Ministerial gifts, hospitality, travel and meetings with external organisations in Cabinet Office",ministerial-data-cabinet-office,1144,420,336,all
Inquest verdicts by jurisdiction,inquest_verdicts_by_jurisdiction,1142,815,0,all
NHS England: Acute and/or combined stroke units with 5/6 key characteristics considered key components of acute stroke unit care (continuous physiological monitoring; access to scanning within 3 hours of admission/24 hour brain imaging; policy for direct admission from A&E; specialist ward round at least 5 times a week; acute stroke protocols/guidelines),england-nhs-indicator-acute-and-or-combined-stroke-units-with-5-or-6-key-characteristics,1137,776,64,all
Assaults on Police Officers,assaults-on-police-officers,1130,523,217,all
Deaths in the UK Regular Armed Forces,deaths_in_the_uk_regular_armed_forces,1128,689,138,all
Survey of Informal Carers in Households,survey_of_informal_carers_in_households,1127,844,0,all
Youth Crime:,youth_crime_-,1126,370,262,all
Area of designated greenbelt by local planning authority,area-of-designated-greenbelt-by-local-planning-authority,1124,658,255,all
Weekly Market Report (average livestock and crop prices) Northern Ireland,weekly_market_report_average_livestock_and_crop_prices_northern_ireland,1124,506,0,all
UKCP09: 5km gridded data - Annual Average - Rainfall intensity on days of rain ≥1 mm (mm/day),ukcp09-5km-gridded-data-annual-averages-rainfall-intensity-on-days-of-rain-1-mm,1119,656,175,all
National Hip Fracture Database Annual Report 2012-13,national-hip-fracture-database-annual-report-2012-13,1118,442,544,all
Worklessness Summary Statistics: Unemployment,worklessness_summary_statistics_-_unemployment,1116,175,0,all
Places Database,england-places-database,1115,332,372,all
Household earnings estimates: Model-based estimates of income for wards,household_earnings_estimates_-_model-based_estimates_of_income_for_wards,1115,619,347,all
Ordnance Survey Atom feed (INSPIRE Download service),ordnance-survey-atom-feed-inspire-download-service,1107,300,35,all
UK INSPIRE Monitoring Indicators Report,uk-2013-inspire-monitoring-indicators-report,1103,308,429,all
"National Mastectomy and Breast Reconstruction Audit, Fourth Annual Report - 2011",national-mastectomy-and-breast-reconstruction-audit,1102,737,1027,all
Organogram and staff pay data for Vehicle & Operator Services Agency,organogram-vosa,1100,518,229,all
Smoking related behaviour and attitudes,smoking_related_behaviour_and_attitudes,1098,727,319,all
Local Authority Revenue Expenditure and Financing,local_authority_revenue_expenditure_and_financing,1096,631,196,all
Recorded crime data at local authority level,local-authority-recorded-crime-data,1096,463,375,all
National Insurance Number (NINo) allocations to overseas nationals entering the UK: Tabulation tool,national_insurance_number_nino_allocations_to_overseas_nationals_entering_the_uk_-_tabulation_tool,1094,848,135,all
THE REGISTERED LANDSCAPES OF OUSTANDING HISTORIC INTEREST IN WALES & REGISTERED LANDSCAPES OF SPECIAL HISTORIC INTEREST IN WALES,the-registered-landscapes-of-oustanding-historic-interest-in-wales-registered-landscapes-of-spe,1093,628,0,all
National Diet and Nutrition Survey (Rolling Programme),national_diet_and_nutrition_survey_rolling_programme,1090,608,204,all
NI 157 - Processing of planning applications as measured against targets for 'major' 'minor' and 'other' application types,ni-157-processing-of-planning-applications,1089,732,0,all
ukcp09: Gridded Datasets of Monthly values - Mean wind speed (knots),ukcp09-gridded-monthly-values-mean-wind-speed,1088,567,303,all
Implementing the Government ICT Strategy - ICT Metrics,ictmetrics,1085,562,269,all
Defra Government Procurement Card spend - transactions over £500,defra-gpc-spend-over-500-pounds,1085,338,619,all
Pupils Making Expected Progress in English and in Mathematics Between Key Stage 2 and Key Stage 4 in England,pupils_making_expected_progress_in_english_and_in_mathematics_between_key_stage_2_and_key_stage_4_in,1083,831,95,all
"UK Output, Income and Expenditure",uk_output_income_and_expenditure,1081,201,219,all
Agricultural Price Index,agricultural_price_index,1080,638,118,all
OS VectorMap™ Local,os-vectormap-local,1080,534,0,all
Small and medium-sized enterprise (SME) business barometer,sme-business-barometer,1077,390,408,all
Organogram and staff pay data for Natural England,staff-organograms-and-pay-natural-england,1075,523,241,all
Hospital admissions: By age and gender,hospital_admissions_-_by_age_and_gender,1071,551,318,all
FCO Travel Advice,fco-travel-advice,1068,414,141,all
spotlightonspend Raw Data Download Files,spotlightonspend-transactions-download,1067,692,35,all
Operational Efficiency Programme Benchmarking Report for April 2009 to May 2010,oep-benchmarking-data-2009-10,1065,667,288,all
Sub-regional household population projections,sub-regional_household_population_projections,1064,614,470,all
Organogram and staff pay data for The NHS Information Centre for Health,staff-organograms-and-pay-the-nhs-information-centre-for-health-and-social-care,1061,519,341,all
Drugs Misuse Statistics Scotland,drugs_misuse_statistics_scotland,1060,776,279,all
Estimated total number of houses in multiple occupation in area,estimated-total-number-of-houses-in-multiple-occupation-in-area,1057,812,65,all
